"BldgType_1Fam","BldgType_2fmCon","BldgType_Duplex","BldgType_Twnhs","BldgType_TwnhsE","SalePrice","GrLivArea","CentralAir","TotRmsAbvGrd","YearBuilt","TotalBsmtSF","qual_num_1","qual_num_2","qual_num_3","qual_num_4","qual_num_5","qual_num_6","qual_num_7","qual_num_8","qual_num_9","qual_num_10","qual_letter_A","qual_letter_B","cond_num_1","cond_num_2","cond_num_3","cond_num_4","cond_num_5","cond_num_6","cond_num_7","cond_num_8","cond_num_9","cond_num_10","cond_letter_A","cond_letter_B"
1,0,0,0,0,209698.271629067,1258,1,6,1880,832,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,1,69704.0998356951,816,1,6,1880,1264,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,0,129145.586783829,1144,1,5,1880,1080,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,156237.337310299,1474,1,9,1880,940,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,111112.919258242,1230,1,6,1880,729,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,146157.753536121,1520,0,5,1880,1269,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,110242.315614937,864,1,5,1880,1063,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,134160.799363638,1362,1,5,1880,848,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,105388.872334068,1296,1,5,1880,1392,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,74127.4011253596,1350,1,6,1880,901,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,133523.171251148,1226,1,8,1880,1029,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,95117.5796083483,1494,0,7,1880,1416,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
